DOEID,DWCYCLE,TVTYPE1,TYPETHERM,LGTINLED,SMARTMETER,SOLAR,ELECVEH,TOTALBTU,TOTALDOL
100001,2,1,1,2,0,0,0,144647.71,2656.89
100002,2,1,1,2,0,-2,0,28034.61,975.0
100003,2,2,1,0,0,-2,0,30749.71,522.65
100004,1,2,1,4,1,0,0,86765.19,2061.77
100005,2,1,2,3,-4,-2,0,59126.93,1463.04
100006,2,1,3,2,1,0,0,85400.64,2335.08
100007,2,3,1,4,1,0,0,131875.03,2110.5
100008,-2,1,1,1,1,-2,0,41446.59,1237.05
100009,2,1,2,0,0,-2,0,14512.02,549.8
100010,-2,1,1,2,-4,-2,0,12393.76,625.41
100011,5,1,2,1,1,1,0,58496.25,487.81
100012,6,2,1,4,0,0,0,73867.11,1572.92
100013,2,1,1,2,0,0,0,83979.36,1655.46
100014,-2,1,1,2,1,0,0,30595.98,644.85
100015,1,1,2,4,-4,0,0,98033.63,3308.86
100016,-2,1,1,4,-4,0,0,39937.69,2250.57
100017,-2,1,2,3,0,0,0,112775.2,3064.28
100018,2,2,1,2,0,0,0,125582.35,1322.89
100019,2,1,2,4,-4,0,0,51945.31,1635.06
100020,-2,1,1,3,-4,0,0,53803.14,1549.78
100021,-2,-2,1,1,1,0,0,54005.2,1281.99
100022,2,1,0,4,0,-2,0,23415.09,933.32
100023,2,2,2,4,-4,0,0,79849.84,2922.94
100024,2,2,2,3,0,0,0,33972.06,1142.86
100025,-2,1,2,1,-4,0,0,121761.49,1579.52
100026,2,1,2,1,-4,1,0,43461.64,2348.58
100027,2,1,2,3,-4,0,0,124372.24,1967.28
100028,6,1,1,2,-4,1,0,97416.98,1230.85
100029,2,1,3,1,1,0,0,53728.89,1747.09
100030,6,2,1,3,0,0,0,65619.52,1900.62
100031,2,1,1,1,1,0,0,113020.98,2731.6
100032,-2,1,2,1,1,0,0,80187.87,1535.72
100033,1,1,3,1,0,0,0,91317.7,3497.17
100034,2,1,2,2,0,0,0,217651.23,2812.16
100035,4,5,2,1,0,1,0,108269.17,1482.12
100036,1,2,3,2,-4,0,0,70527.71,1394.84
100037,2,1,2,2,-4,0,0,108156.16,1271.07
100038,2,1,2,2,-4,0,0,194817.9,3840.37
100039,2,1,1,3,0,0,0,22005.56,515.23
100040,5,1,1,3,-4,0,0,47211.0,1712.81
100041,2,1,2,4,-4,0,0,101510.16,1914.91
100042,-2,1,-2,3,0,0,0,19492.16,1644.89
100043,2,1,1,4,0,0,0,73291.53,2665.59
100044,1,1,1,2,0,0,0,18345.72,963.68
100045,2,2,3,1,1,0,0,20481.83,1046.1
100046,-2,2,1,0,-4,0,0,97641.74,3414.81
100047,-2,1,3,4,1,0,0,123418.57,2236.22
100048,-2,3,1,4,-4,0,0,50997.29,1046.0
100049,-2,1,2,0,0,0,0,32991.72,1403.65
100050,-2,1,2,4,0,0,0,37034.36,1170.92
100051,2,2,2,4,1,0,0,191749.62,3506.79
100052,1,2,1,2,0,0,0,15493.18,638.56
100053,2,1,2,2,-4,0,0,59388.6,1328.63
100054,-2,2,2,2,1,0,0,109411.63,2309.65
100055,1,2,2,3,1,0,0,182565.43,1945.99
100056,1,1,2,1,-4,0,0,31483.35,1102.84
100057,-2,-2,2,4,1,-2,0,79191.86,2567.38
100058,1,1,2,3,1,0,0,79741.19,2576.49
100059,-2,2,1,1,-4,-2,0,26737.37,939.24
100060,-2,1,2,0,-4,0,0,144172.84,1560.42
100061,-2,1,0,4,1,0,0,39065.33,2881.34
100062,-2,-2,2,3,-4,-2,0,20237.67,559.35
100063,2,3,2,2,1,0,0,60489.7,2046.49
100064,6,1,2,3,1,0,0,86574.0,3226.06
100065,-2,1,0,3,0,0,0,80136.82,1919.22
100066,2,1,2,1,1,0,0,150028.53,4289.55
100067,5,2,3,1,1,0,0,124759.42,3345.44
100068,2,1,1,3,-4,0,0,84755.32,2141.35
100069,4,2,2,4,-4,-2,0,68753.86,1063.9
100070,-2,2,1,0,-4,0,0,51512.95,1080.38
100071,-2,1,1,1,-4,-2,0,15377.89,579.3
100072,-2,1,2,2,-4,-2,0,23907.61,1260.23
100073,2,1,3,1,1,0,0,88173.27,2422.17
100074,2,1,3,1,1,0,0,54308.63,1800.73
100075,2,2,2,4,-4,0,0,230527.06,3530.8
100076,-2,2,1,4,0,-2,0,34304.28,683.43
100077,2,1,1,4,-4,-2,0,33198.62,1193.44
100078,-2,-2,2,2,0,-2,0,60472.91,975.05
100079,3,2,1,2,-4,0,0,63422.66,2320.65
100080,1,1,1,4,-4,0,0,36655.91,894.06
100081,-2,1,1,0,0,-2,0,21018.22,523.91
100082,3,3,0,0,0,0,0,69578.63,2117.98
100083,2,1,1,4,-4,0,0,85079.04,1566.74
100084,-2,1,2,3,-4,0,0,87999.36,2113.14
100085,-2,1,2,0,0,0,0,110564.74,1595.64
100086,-2,1,1,3,1,0,0,81478.81,4657.33
100087,5,2,2,3,-4,0,0,60206.07,1737.58
100088,2,1,2,0,0,0,0,186898.32,3809.67
100089,2,1,2,2,-4,0,0,94189.04,2143.44
100090,-2,5,2,3,1,0,0,42959.19,1105.83
100091,-2,1,2,4,-4,-2,0,126940.07,1894.06
100092,2,1,1,4,-4,0,0,178071.4,2596.07
100093,5,1,0,1,1,1,0,61584.35,1181.06
100094,2,1,0,0,-4,0,0,40857.91,1224.72
100095,-2,1,1,1,-4,0,0,44976.0,1541.23
100096,2,3,1,2,0,0,0,72186.84,1887.02
100097,2,1,3,2,0,0,0,29988.35,874.62
100098,-2,2,1,2,1,0,0,149973.98,2116.06
100099,3,2,1,4,0,0,0,145953.61,2825.75
100100,-2,1,2,4,1,-2,0,82702.13,3356.34
