,DOEID,TYPEHUQ,YEARMADERANGE,TOTROOMS,WALLTYPE,ROOFTYPE,ADQINSUL,NUMFRIG,EQUIPM,ACEQUIPM_PUB,TOTSQFT_EN,TOTALBTU,TOTALDOL
0,100001,2,4,8,1,5,2,2,3,1,2100,144647.71,2656.89
1,100002,5,5,3,1,-2,2,1,3,1,590,28034.61,975.0
2,100003,5,3,4,1,-2,2,0,2,1,900,30749.71,522.65
3,100004,2,5,9,3,5,2,2,3,1,2100,86765.19,2061.77
4,100005,5,3,3,7,-2,2,2,3,1,800,59126.93,1463.04
5,100006,2,6,8,1,5,1,2,3,1,4520,85400.64,2335.08
6,100007,2,2,5,1,5,3,1,3,1,2100,131875.03,2110.5
7,100008,5,7,4,3,-2,2,1,4,-2,900,41446.59,1237.05
8,100009,5,7,3,7,-2,2,1,5,4,750,14512.02,549.8
9,100010,5,5,4,4,-2,2,1,4,1,760,12393.76,625.41
10,100011,2,4,7,4,1,2,2,3,1,1630,58496.25,487.81
11,100012,2,8,9,2,2,2,1,7,1,1540,73867.11,1572.92
12,100013,2,4,8,1,5,2,1,3,1,2000,83979.36,1655.46
13,100014,2,2,6,1,5,2,1,2,4,1450,30595.98,644.85
14,100015,2,2,7,2,3,3,1,3,4,1650,98033.63,3308.86
15,100016,3,3,5,4,5,1,1,5,1,1350,39937.69,2250.57
16,100017,2,5,6,2,5,1,2,2,6,1910,112775.2,3064.28
17,100018,2,6,6,4,5,2,1,2,6,2650,125582.35,1322.89
18,100019,3,4,4,6,5,2,1,3,1,1980,51945.31,1635.06
19,100020,2,3,4,2,3,1,2,4,1,1300,53803.14,1549.78
20,100021,3,3,4,1,5,3,1,3,5,1850,54005.2,1281.99
21,100022,5,4,4,7,-2,1,1,5,4,1130,23415.09,933.32
22,100023,2,7,9,3,5,2,2,3,1,2730,79849.84,2922.94
23,100024,2,6,8,2,5,2,1,4,1,2640,33972.06,1142.86
24,100025,2,1,5,3,5,3,1,3,1,1430,121761.49,1579.52
25,100026,2,5,7,2,5,2,1,8,4,2440,43461.64,2348.58
26,100027,2,7,14,3,5,1,1,3,1,3000,124372.24,1967.28
27,100028,2,1,7,2,4,3,1,3,1,1490,97416.98,1230.85
28,100029,2,6,6,4,5,1,2,4,1,1810,53728.89,1747.09
29,100030,2,4,8,3,5,2,2,8,1,2500,65619.52,1900.62
30,100031,2,2,6,2,5,2,2,2,1,2850,113020.98,2731.6
31,100032,2,3,5,3,5,2,2,3,1,1980,80187.87,1535.72
32,100033,2,8,11,4,1,2,3,-2,1,5450,91317.7,3497.17
