DOEID,REGIONC,DIVISION,state_postal,BA_climate,TOTALBTU,TOTALDOL
100001,WEST,Mountain South,NM,Mixed-Dry,144647.71,2656.89
100002,SOUTH,West South Central,AR,Mixed-Humid,28034.61,975.0
100003,WEST,Mountain South,NM,Mixed-Dry,30749.71,522.65
100004,SOUTH,South Atlantic,SC,Mixed-Humid,86765.19,2061.77
100005,NORTHEAST,Middle Atlantic,NJ,Mixed-Humid,59126.93,1463.04
100006,SOUTH,West South Central,TX,Hot-Humid,85400.64,2335.08
100007,SOUTH,West South Central,OK,Mixed-Humid,131875.03,2110.5
100008,SOUTH,East South Central,MS,Mixed-Humid,41446.59,1237.05
100009,SOUTH,South Atlantic,DC,Mixed-Humid,14512.02,549.8
100010,WEST,Mountain South,AZ,Hot-Dry,12393.76,625.41
100011,WEST,Pacific,CA,Hot-Dry,58496.25,487.81
100012,SOUTH,West South Central,TX,Hot-Dry,73867.11,1572.92
100013,SOUTH,West South Central,LA,Hot-Humid,83979.36,1655.46
100014,MIDWEST,West North Central,MN,Very-Cold,30595.98,644.85
100015,NORTHEAST,New England,VT,Cold,98033.63,3308.86
100016,WEST,Pacific,CA,Hot-Dry,39937.69,2250.57
100017,NORTHEAST,New England,RI,Cold,112775.2,3064.28
100018,WEST,Mountain South,NM,Mixed-Dry,125582.35,1322.89
100019,SOUTH,West South Central,AR,Mixed-Humid,51945.31,1635.06
100020,SOUTH,West South Central,LA,Hot-Humid,53803.14,1549.78
100021,MIDWEST,East North Central,IL,Cold,54005.2,1281.99
100022,MIDWEST,East North Central,IL,Cold,23415.09,933.32
100023,NORTHEAST,New England,ME,Cold,79849.84,2922.94
100024,MIDWEST,West North Central,SD,Cold,33972.06,1142.86
100025,MIDWEST,East North Central,IL,Cold,121761.49,1579.52
100026,NORTHEAST,New England,MA,Cold,43461.64,2348.58
100027,MIDWEST,West North Central,MN,Cold,124372.24,1967.28
100028,NORTHEAST,New England,MA,Cold,97416.98,1230.85
100029,SOUTH,South Atlantic,FL,Hot-Humid,53728.89,1747.09
100030,MIDWEST,East North Central,OH,Cold,65619.52,1900.62
100031,NORTHEAST,New England,RI,Cold,113020.98,2731.6
100032,MIDWEST,West North Central,NE,Cold,80187.87,1535.72
100033,WEST,Mountain South,AZ,Hot-Dry,91317.7,3497.17
100034,MIDWEST,West North Central,MN,Cold,217651.23,2812.16
100035,NORTHEAST,New England,VT,Cold,108269.17,1482.12
100036,SOUTH,West South Central,OK,Mixed-Humid,70527.71,1394.84
100037,MIDWEST,East North Central,IL,Cold,108156.16,1271.07
100038,SOUTH,South Atlantic,VA,Mixed-Humid,194817.9,3840.37
100039,WEST,Mountain North,WY,Cold,22005.56,515.23
100040,NORTHEAST,Middle Atlantic,PA,Cold,47211.0,1712.81
100041,SOUTH,West South Central,TX,Hot-Humid,101510.16,1914.91
100042,WEST,Pacific,HI,Hot-Humid,19492.16,1644.89
100043,WEST,Pacific,CA,Hot-Dry,73291.53,2665.59
100044,NORTHEAST,New England,NH,Cold,18345.72,963.68
100045,MIDWEST,East North Central,MI,Cold,20481.83,1046.1
100046,WEST,Pacific,CA,Hot-Dry,97641.74,3414.81
100047,SOUTH,South Atlantic,MD,Mixed-Humid,123418.57,2236.22
100048,NORTHEAST,Middle Atlantic,NY,Cold,50997.29,1046.0
100049,SOUTH,South Atlantic,MD,Mixed-Humid,32991.72,1403.65
100050,WEST,Mountain South,AZ,Hot-Dry,37034.36,1170.92
100051,MIDWEST,East North Central,MI,Cold,191749.62,3506.79
100052,SOUTH,South Atlantic,VA,Mixed-Humid,15493.18,638.56
100053,SOUTH,South Atlantic,MD,Mixed-Humid,59388.6,1328.63
100054,MIDWEST,East North Central,MI,Cold,109411.63,2309.65
100055,WEST,Mountain North,CO,Cold,182565.43,1945.99
100056,SOUTH,South Atlantic,NC,Mixed-Humid,31483.35,1102.84
100057,NORTHEAST,Middle Atlantic,NY,Mixed-Humid,79191.86,2567.38
100058,MIDWEST,East North Central,IL,Cold,79741.19,2576.49
100059,SOUTH,East South Central,KY,Mixed-Humid,26737.37,939.24
100060,WEST,Mountain North,CO,Cold,144172.84,1560.42
100061,NORTHEAST,Middle Atlantic,NY,Mixed-Humid,39065.33,2881.34
100062,MIDWEST,West North Central,ND,Very-Cold,20237.67,559.35
100063,WEST,Pacific,CA,Hot-Dry,60489.7,2046.49
100064,SOUTH,South Atlantic,GA,Mixed-Humid,86574.0,3226.06
100065,SOUTH,South Atlantic,WV,Cold,80136.82,1919.22
100066,SOUTH,West South Central,TX,Hot-Humid,150028.53,4289.55
100067,NORTHEAST,New England,RI,Cold,124759.42,3345.44
100068,NORTHEAST,New England,VT,Cold,84755.32,2141.35
100069,MIDWEST,East North Central,MI,Cold,68753.86,1063.9
100070,SOUTH,South Atlantic,MD,Mixed-Humid,51512.95,1080.38
100071,MIDWEST,West North Central,ND,Cold,15377.89,579.3
100072,SOUTH,South Atlantic,SC,Mixed-Humid,23907.61,1260.23
100073,WEST,Pacific,OR,Marine,88173.27,2422.17
100074,SOUTH,South Atlantic,FL,Hot-Humid,54308.63,1800.73
100075,MIDWEST,West North Central,MO,Mixed-Humid,230527.06,3530.8
100076,NORTHEAST,Middle Atlantic,NJ,Mixed-Humid,34304.28,683.43
100077,SOUTH,South Atlantic,FL,Hot-Humid,33198.62,1193.44
100078,WEST,Mountain North,UT,Cold,60472.91,975.05
100079,NORTHEAST,New England,CT,Cold,63422.66,2320.65
100080,SOUTH,West South Central,TX,Hot-Dry,36655.91,894.06
100081,MIDWEST,West North Central,ND,Very-Cold,21018.22,523.91
100082,NORTHEAST,New England,ME,Cold,69578.63,2117.98
100083,SOUTH,East South Central,TN,Mixed-Humid,85079.04,1566.74
100084,MIDWEST,East North Central,WI,Cold,87999.36,2113.14
100085,MIDWEST,East North Central,OH,Cold,110564.74,1595.64
